full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,70764,70764,11522,11,11,3,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9533,9533,14696,2,2,0,https://github.com/ChinaSiro/claude-code-sourcemap
Alishahryar1/free-claude-code,39811,39811,6499,18,18,1,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1635,1635,2531,1,1,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,49881,49881,4357,11,11,0,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,62490,62490,6249,6,6,0,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,35753,35753,2950,3,3,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,29253,29253,3204,46,46,2,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,915,915,1218,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,22906,22906,3287,6,6,1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,23240,23240,2711,5,5,0,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3250,3250,3826,0,0,0,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2316,2316,3535,0,0,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8331,8331,1963,1,1,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11782,11782,2002,8,8,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3518,3518,1946,1,1,0,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9735,9735,1214,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
pedrohcgs/claude-code-my-workflow,1402,1402,2752,1,1,2,https://github.com/pedrohcgs/claude-code-my-workflow
frankbria/ralph-claude-code,9530,9530,727,0,0,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,9212,9212,721,5,5,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2754,2754,2430,2,2,1,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,787,787,1759,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,3910,3910,792,2,2,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5990,5990,560,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
wanshuiyin/Auto-claude-code-research-in-sleep,13316,13316,1201,5,5,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
huangserva/claude-code-cli,618,618,1309,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3880,3880,564,0,0,0,https://github.com/OneRedOak/claude-code-workflows
FlorianBruniaux/claude-code-ultimate-guide,5423,5423,710,1,1,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,2935,2935,563,0,0,0,https://github.com/nicedreamzapp/claude-code-local
1rgs/claude-code-proxy,3685,3685,480,1,1,1,https://github.com/1rgs/claude-code-proxy
zebbern/claude-code-guide,4396,4396,445,1,1,0,https://github.com/zebbern/claude-code-guide
anthropics/claude-code-security-review,5527,5527,587,1,1,0,https://github.com/anthropics/claude-code-security-review
lorryjovens-hub/claude-code-rust,1666,1666,639,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
disler/claude-code-hooks-mastery,3825,3825,628,0,0,0,https://github.com/disler/claude-code-hooks-mastery
rohitg00/awesome-claude-code-toolkit,2304,2304,795,1,1,0,https://github.com/rohitg00/awesome-claude-code-toolkit
affaan-m/ECC,228969,228969,35104,47,47,11,https://github.com/affaan-m/ECC
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
alejandrobalderas/claude-code-from-source,2700,2700,741,1,1,0,https://github.com/alejandrobalderas/claude-code-from-source
Maciek-roboblog/Claude-Code-Usage-Monitor,8435,8435,433,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Windy3f3f3f3f/how-claude-code-works,3142,3142,665,0,0,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
